gvkey,year,id,site,HTML_title,path,path_cleaned
023804,2015,2015_023804_0_0,https://www.innovagaminggroup.com,INNOVA Gaming Group,,
023804,2015,2015_023804_1_1,https://www.innovagaminggroup.com/overview,Innova Gaming Group | Overview,/overview,overview
023804,2015,2015_023804_1_2,https://www.innovagaminggroup.com/terms-of-use,Innova Gaming Group | Terms of Use,/terms-of-use,terms-of-use
023804,2015,2015_023804_1_3,https://www.innovagaminggroup.com/who-we-are,Innova Gaming Group | Who We Are,/who-we-are,who-we-are
023804,2015,2015_023804_1_4,https://www.innovagaminggroup.com/contact-us,Innova Gaming Group | Contact Us,/contact-us,contact-us
023804,2015,2015_023804_1_6,https://www.innovagaminggroup.com/who-we-are/management,Innova Gaming Group | Management,/who-we-are/management,who-we-are management
023804,2015,2015_023804_1_7,https://www.innovagaminggroup.com/who-we-are/board-of-directors,Innova Gaming Group | Board of Directors,/who-we-are/board-of-directors,who-we-are board-of-directors
023804,2015,2015_023804_1_8,https://www.innovagaminggroup.com/privacy-policy,Innova Gaming Group | Privacy Policy,/privacy-policy,privacy-policy
023804,2015,2015_023804_1_9,https://www.innovagaminggroup.com/category/press-releases,Innova Gaming Group | Press Releases,/category/press-releases,category press-releases
